seq,case_id,activity_id,timestamp,resource_id,player_team,teams_play,quarter,outcome,shot_type,shot_distance_by_foot,shot_points,score_board_dal,score_board_bos
71,play_10,dribble,20:02:40,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
72,play_10,pass,20:02:42,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
73,play_10,dribble,20:02:44,Daniel Gafford,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
74,play_10,pass-turnover,20:02:46,Daniel Gafford,Dallas Mavericks,Dallas Mavericks,1st quarter,0,,,,0,4
75,play_10,dribble,20:02:47,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
76,play_10,pass,20:02:49,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
77,play_10,shot-miss,20:02:52,Derrick Jones Jr.,Dallas Mavericks,Dallas Mavericks,1st quarter,0,jump shot,26,3,0,4
78,play_11,pass,20:02:55,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
79,play_11,pass,20:02:56,Derrick Jones Jr.,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
80,play_11,dribble,20:02:57,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
81,play_11,pass-to-assist,20:02:58,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,0,4
82,play_11,shot-make,20:03:01,Derrick Jones Jr.,Dallas Mavericks,Dallas Mavericks,1st quarter,1,alley oop dunk,2,2,2,4
83,play_12,pass,20:03:03,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
84,play_12,pass,20:03:04,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
85,play_12,dribble,20:03:05,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
86,play_12,pass,20:03:13,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
87,play_12,dribble,20:03:15,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
88,play_12,shot-miss,20:03:18,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,0,pull up jump shot,26,3,2,4
89,play_13,pass,20:03:20,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,4
90,play_13,dribble,20:03:22,Kyrie Irving,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,4
91,play_13,shot-miss,20:03:31,Kyrie Irving,Dallas Mavericks,Dallas Mavericks,1st quarter,0,driving layup,11,2,2,4
92,play_14,block,20:03:31,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
93,play_14,defensive-rebound,20:03:32,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
94,play_14,dribble,20:03:32,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
95,play_14,pass-to-assist,20:03:33,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
96,play_14,dribble,20:03:33,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,4
97,play_14,shot-make,20:03:36,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,running layup,1,2,2,6
98,play_15,pass,20:03:38,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
99,play_15,dribble,20:03:38,Derrick Jones Jr.,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
100,play_15,pass,20:03:40,Derrick Jones Jr.,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
101,play_15,dribble,20:03:41,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
102,play_15,shot-miss,20:03:48,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,0,driving floating jump shot,11,2,2,6
103,play_16,defensive-rebound,20:03:51,Al Horford,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
104,play_16,jump ball,20:03:51,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
105,play_16,pass,20:03:51,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
106,play_16,pass,20:03:55,Al Horford,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
107,play_16,dribble,20:03:56,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
108,play_16,pass,20:03:57,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
109,play_16,dribble,20:03:58,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
110,play_16,pass,20:04:00,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
111,play_16,dribble,20:04:02,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
112,play_16,pass,20:04:04,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
113,play_16,dribble,20:04:05,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
114,play_16,pass,20:04:07,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
115,play_16,dribble,20:04:08,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
116,play_16,shot-miss,20:04:08,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,0,driving layup,8,2,2,6
117,play_17,block,20:04:11,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
118,play_17,defensive-rebound,20:04:12,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
119,play_17,dribble,20:04:12,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
120,play_17,pass,20:04:16,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
121,play_17,dribble,20:04:17,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
122,play_17,pass,20:04:19,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
123,play_17,shot-miss,20:04:21,Derrick Jones Jr.,Dallas Mavericks,Dallas Mavericks,1st quarter,0,jump shot,24,3,2,6
124,play_18,offensive-rebound,20:04:22,Daniel Gafford,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,6
125,play_18,shot-miss,20:04:22,Daniel Gafford,Dallas Mavericks,Dallas Mavericks,1st quarter,0,tip layup,1,2,2,6
126,play_19,defensive-rebound,20:04:24,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
127,play_19,dribble,20:04:24,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
128,play_19,pass-to-assist,20:04:30,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,2,6
129,play_19,shot-make,20:04:30,Al Horford,Boston Celtics,Boston Celtics,1st quarter,1,jump shot,26,3,2,9
130,play_20,pass,20:04:30,Derrick Jones Jr.,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,9
131,play_20,dribble,20:04:31,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,9
132,play_20,pass,20:04:46,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,9
133,play_20,dribble,20:04:47,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,9
134,play_20,foul,20:04:48,Jaylen Brown,Boston Celtics,Dallas Mavericks,1st quarter,1,,,,2,9
135,play_20,pass,20:04:48,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,9
136,play_20,pass,20:04:51,Dereck Lively II,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,9
137,play_20,dribble,20:04:55,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,2,9
138,play_20,foul,20:04:58,Al Horford,Boston Celtics,Dallas Mavericks,1st quarter,1,,,,4,9
139,play_20,shot-make,20:04:58,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,pull up jump shot,7,2,4,9
140,play_20,shot-make,20:04:58,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,free throw,15,1,5,9
141,play_21,pass,20:04:58,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
142,play_21,dribble,20:05:00,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
143,play_21,pass,20:05:02,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
144,play_21,dribble,20:05:02,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
145,play_21,pass,20:05:06,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
146,play_21,dribble,20:05:06,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
147,play_21,pass,20:05:07,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
148,play_21,dribble,20:05:07,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
149,play_21,pass,20:05:08,Jrue Holiday,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
150,play_21,pass,20:05:09,Al Horford,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
151,play_21,dribble,20:05:09,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,9
152,play_21,foul,20:05:11,Kyrie Irving,Dallas Mavericks,Boston Celtics,1st quarter,1,,,,5,9
153,play_21,shot-make,20:05:11,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,free throw,15,1,5,9
154,play_21,shot-make,20:05:11,Derrick White,Boston Celtics,Boston Celtics,1st quarter,1,free throw,15,1,5,11
155,play_22,pass,20:05:11,Dereck Lively II,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,5,11
156,play_22,dribble,20:05:12,Kyrie Irving,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,5,11
157,play_22,shot-miss,20:05:26,Kyrie Irving,Dallas Mavericks,Dallas Mavericks,1st quarter,0,pullup jump shot,28,3,5,11
158,play_23,defensive-rebound,20:05:28,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,11
159,play_23,dribble,20:05:29,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,,,,5,11
160,play_23,shot-make,20:05:35,Jaylen Brown,Boston Celtics,Boston Celtics,1st quarter,1,driving floating bank jump shot,7,2,5,13
161,play_24,pass,20:05:36,P.J. Washington,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,5,13
162,play_24,dribble,20:05:37,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,5,13
163,play_24,pass-to-assist,20:05:51,Luka Doncic,Dallas Mavericks,Dallas Mavericks,1st quarter,1,,,,5,13
164,play_24,shot-make,20:05:53,Josh Green,Dallas Mavericks,Dallas Mavericks,1st quarter,1,jump shot,27,3,8,13
165,play_25,pass,20:05:55,Jayson Tatum,Boston Celtics,Boston Celtics,1st quarter,1,,,,8,13
