"order","timestamp","DAL_play","DAL_score_tally","score_board","BOS_score_tally","BOS_play","quarter","timediff"
458,NA,"","","85-97","+2","J. Brown makes 2-pt jump shot from 11 ft","q4",NA
459,NA,"K. Irving makes 2-pt layup from 3 ft","+2","87-97","","","q4",NA
460,NA,"","","87-97","","J. Brown misses 2-pt jump shot from 11 ft","q4",NA
461,NA,"Defensive rebound by L. Dončić","","87-97","","","q4",NA
462,NA,"D. Gafford makes 2-pt dunk from 1 ft (assist by K. Irving)","+2","89-97","","","q4",NA
463,NA,"","","89-97","","Boston full timeout","q4",NA
464,NA,"","","89-97","","A. Horford enters the game for K. Porziņģis","q4",NA
465,NA,"","","89-97","","D. White misses 3-pt jump shot from 23 ft","q4",NA
466,NA,"Defensive rebound by D. Gafford","","89-97","","","q4",NA
467,NA,"Turnover by L. Dončić (bad pass; steal by D. White)","","89-97","","","q4",NA
468,NA,"","","89-100","+3","J. Holiday makes 3-pt jump shot from 27 ft (assist by A. Horford)","q4",NA
469,NA,"K. Irving misses 3-pt jump shot from 27 ft","","89-100","","","q4",NA
470,NA,"","","89-100","","Defensive rebound by J. Tatum","q4",NA
471,NA,"","","89-100","","J. Tatum misses 2-pt dunk from 3 ft","q4",NA
472,NA,"","","89-100","","Offensive rebound by J. Holiday","q4",NA
473,NA,"","","89-103","+3","D. White makes 3-pt jump shot from 26 ft (assist by J. Holiday)","q4",NA
474,NA,"Dallas full timeout","","89-103","","","q4",NA
475,NA,"M. Kleber enters the game for D. Gafford","","89-103","","","q4",NA
476,NA,"D. Jones makes 2-pt layup from 2 ft (assist by L. Dončić)","+2","91-103","","","q4",NA
477,NA,"","","91-103","","D. White misses 2-pt jump shot from 11 ft","q4",NA
478,NA,"Defensive rebound by L. Dončić","","91-103","","","q4",NA
479,NA,"Shooting foul by D. White (drawn by D. Jones)","","91-103","","","q4",NA
480,NA,"D. Jones makes free throw 1 of 2","+1","92-103","","","q4",NA
481,NA,"D. Jones makes free throw 2 of 2","+1","93-103","","","q4",NA
482,NA,"","","93-103","","Turnover by J. Brown (bad pass; steal by L. Dončić)","q4",NA
483,NA,"Turnover by K. Irving (lost ball; steal by A. Horford)","","93-103","","","q4",NA
484,NA,"","","93-103","","J. Tatum misses 2-pt jump shot from 16 ft","q4",NA
